anno	mese	provincia	comune	giorno_settimana	ora	organo_di_rilevazione	organo_coordinatore	localizzazione_incidente	denominazione_della_strada	progressivo_chilometrico	tronco_di_strada_o_autostrada	tipo_di_strada	pavimentazione	intersezione_o_non_interse1	fondo_stradale	segnaletica	condizioni_meteorologiche	natura_incidente	tipo_veicolo_a	tipo_veicoli__b_	tipo_veicolo__c_	cilindrata__veicolo__a_	cilindrata__veicolo__b_	cilindrata__veicolo__c_	peso_totale_a_pieno_carico2	peso_totale_a_pieno_carico3	peso_totale_a_pieno_carico4	veicolo__a____circostanze_5	veicolo__a____circostanze_6	veicolo__b____circostanze_7	veicolo__b____circostanze_8	immatricolazione_veicolo__a_	immatricolazione_veicolo__b_	immatricolazione_veicolo__c_	veicolo__a___et__conducente	veicolo__a___sesso_conducente	veicolo__a___esito_conducente	veicolo__a___patente_condu9	veicolo__a___anno_rilascio10	veicolo__a___passeggeri_an11	veicolo__a___et__passegger12	veicolo__a___sesso_passegg13	veicolo__a___esito_passegg14	veicolo__a___et__passegger15	veicolo__a___sesso_passegg16	veicolo__a___esito_passegg17	veicolo__a___et__passegger18	veicolo__a___sesso_passegg19	veicolo__a___esito_passegg20	veicolo__a___et__passegger21	veicolo__a___sesso_passegg22	veicolo__a___altri_passegg23	veicolo__a___altri_passegg24	veicolo__a___altri_passegg25	veicolo__a___altri_passegg26	veicolo__b___et__conducente	veicolo__b___sesso_conducente	veicolo__b___esito_conducente	veicolo__b___patente_condu27	veicolo__b___anno_rilascio28	veicolo__b___passeggeri_an29	veicolo__b___et__passegger30	veicolo__b___sesso_passegg31	veicolo__b___esito_passegg32	veicolo__b___et__passegger33	veicolo__b___sesso_passegg34	veicolo__b___esito_passegg35	veicolo__b___et__passegger36	veicolo__b___sesso_passegg37	veicolo__b___esito_passegg38	veicolo__b___et__passegger39	veicolo__b___sesso_passegg40	veicolo__b___altri_passegg41	veicolo__b___altri_passegg42	veicolo__b___altri_passegg43	veicolo__b___altri_passegg44	veicolo__c___et__conducente	veicolo__c___sesso_conducente	veicolo__c___esito_conducente	veicolo__c___patente_condu45	veicolo__c___anno_rilascio46	veicolo__c___passeggeri_an47	veicolo__c___et__passegger48	veicolo__c___sesso_passegg49	veicolo__c___esito_passegg50	veicolo__c___et__passegger51	veicolo__c___sesso_passegg52	veicolo__c___esito_passegg53	veicolo__c___et__passegger54	veicolo__c___sesso_passegg55	veicolo__c___esito_passegg56	veicolo__c___et__passegger57	veicolo__c___sesso_passegg58	veicolo__c___altri_passegg59	veicolo__c___altri_passegg60	veicolo__c___altri_passegg61	veicolo__c___altri_passegg62	pedone_morto_1__sesso	pedone_morto_1__et_	pedone_ferito_1__sesso	pedone_ferito_1__et_	pedone_morto_2__sesso	pedone_morto_2__et_	pedone_ferito_2__sesso	pedone_ferito_2__et_	pedone_morto_3__sesso	pedone_morto_3__et_	pedone_ferito_3__sesso	pedone_ferito_3__et_	pedone_morto_4__sesso	pedone_morto_4__et_	pedone_ferito_4__sesso	pedone_ferito_4__et_	altri_veicoli_coinvolti	morti_maschi_coinvolti_su_63	morti_femmine_coinvolti_su64	feriti_maschi_coinvolti_su65	feriti_femmine_coinvolti_s66	morti_entro_24_ore	morti_entro_30_giorni	feriti	numero	peso
10	03	001	002	7	08	1	1	9	023	022	12	2	1	07	1	4	7	10	01	  	  	0999 	     	     	    	    	    	71	  	75	  	98	  	  	07	1	3	2	06	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	01	00	00	000003	 30.884615385
10	07	001	002	7	23	1	1	7	T14	017	  	3	1	08	1	4	1	08	01	  	  	     	     	     	    	    	    	64	  	65	  	  	  	  	08	2	2	2	09	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000007	 30.884615385
10	05	001	013	3	10	1	1	7	A32	008	  	1	1	08	2	4	3	10	01	  	  	1248 	     	     	    	    	    	71	  	73	  	06	  	  	07	2	2	2	03	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000017	 30.884615385
10	12	001	024	3	10	1	1	7	T01	018	  	3	1	07	1	3	1	03	01	10	08	1149 	     	2293 	    	    	    	20	  	22	  	99	98	05	05	2	2	2	10	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	5	09	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	03	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000052	 30.884615385
10	02	001	062	5	10	1	1	7	A32	005	  	1	1	07	2	4	3	10	01	  	  	     	     	     	    	    	    	71	  	75	  	  	  	  	08	2	2	2	96	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000094	  1.000000000
10	05	001	063	3	18	1	1	7	R10	006	  	3	1	07	1	4	1	04	01	08	  	     	     	     	    	    	    	22	  	20	  	  	  	  	07	1	2	2	01	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	00	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000116	 30.884615385
10	08	001	063	7	07	1	1	5	002	014	12	3	1	08	2	4	7	08	01	  	  	     	     	     	    	    	    	64	  	60	  	10	  	  	05	1	2	2	09	2	09	4	2	05	4	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	03	000120	  1.000000000
10	06	001	070	7	12	1	1	9	589	041	12	2	1	03	1	4	7	04	01	01	  	1870 	1242 	     	    	    	    	03	  	16	  	04	09	  	08	1	2	2	07	2	08	4	2	01	4	2	02	3	 	  	 	  	  	  	  	10	1	2	2	85	2	02	3	2	10	4	2	12	4	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	08	000138	 30.884615385
10	07	001	090	7	17	1	1	7	T02	008	  	3	1	08	1	4	1	12	17	  	  	0599 	     	     	    	    	    	76	  	75	  	09	  	  	06	1	1	2	06	2	06	4	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000206	 30.884615385
10	12	001	093	4	15	1	1	7	A32	017	  	1	1	08	2	4	7	08	01	  	  	     	     	     	    	    	    	64	  	60	  	  	  	  	09	1	2	2	97	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000234	 30.884615385
